,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,title,company,location,description,postDate,position
62,,,,,,newMS SQL DB Developer,Jonah Group,"Toronto, ON","SQL Database DeveloperThe Jonah Group is looking for an experienced SQL developer to join our team of accomplished tech professionals. This position is best suited to individuals with a wide breadth of database experience, who can work well both independently and in teams.What We Do: Jonah has produced high quality commercial systems for the banking, auto finance, capital markets, health insurance and pension plan industries (to name a few). We consistently work towards designing and building high-performing enterprise solutions with emphasis placed on great user experience, robust architecture, and a perfect fit. Here at Jonah, you’ll have the opportunity to contribute your technical expertise alongside a team of software specialists who are passionate about what they do.What You'll Do: Responsible for operations and maintenance of the database systems and data processing applications to ensure that the backend data for applications and reports is accessible, secure and stable.Monitor and report on database and application failures and errors.Respond to production incidents and support requests from business users and software development teams.Analyze database and application problems and determine the best way to resolve them.Execute database procedures including backups, upgrades, recovery and migration.Write simple to complex SQL commands to query data, fix bugs and implement enhancements.Profile database server usage and perform database server maintenance to ensure stability and performance of the systems.Document system operations, runbooks and troubleshooting procedures.Collaborate with business users and application developers.Your Preferred Profile: Minimum of 5 years experience with SQL developmentExperience with administration of Microsoft SQL Server and Microsoft SSISExperience with Crystal Reports, InfoView, Insurance industry knowledge and familiarity with ITIL processes would be an advantage.Strong problem solving and analytical skills to proactively identify system problems and minimize database downtimeStrong communication.Self starter and self directed.What You’ll Like About Working Here: Family-friendly benefits and vacation timeAnnual training budget and professional development for fulltime employeesThe flexibility of a software consulting environment; project variety, adapting to new business domains, and building complex applicationsAbility to flex your creativity muscle, and have your opinions heardA work culture where you’ll look forward to coming in every dayDowntown Toronto location (easily accessible by public transit)We want to thank all individuals who apply and will be contacting suitably qualified applicants as soon as we can.Please use the link below to apply:https://thejonahgroup.applytojob.com/apply/J8zAuCKmPy/MS-SQL-DB-DeveloperLocation: 461 King Street West,3rd Floor, Toronto, ONJob Type: Full-time",Posted2 days ago,developer
63,,,,,,"Capital Markets QTS - Developer, Summer PEY 2022 Student Opp...",RBC,"Toronto, ON","What is the opportunity?
As a Developer within Capital Markets Quantitative and Technology Services (QTS), you will gain in depth knowledge of Capital Markets and develop your skills by providing creative, development solutions to solve complex business issues. We offer a tailored approach to career development based on the growing needs of our businesses and your career aspirations. There are a variety of teams available for you to join. Based on your interest and skillset, we will match you to a team, and provide you on-the-job training and mentorship throughout your work term. By joining the QTS co-op program, you are joining a community. You will get the unique chance to meet leaders across QTS, participate in friendly competitions, and share your experience with a cohort of other students.
Some exciting areas to which you may be able to contribute are:
Trading Technology
Risk, Analytics, and Quantitative Technology
Operations Technology
Data Infrastructure
DevOps
What will you do?
Create designs, develop, code, and perform code reviews and testing of applications, as per Agile methodologies and incremental delivery
Design Unit and Integration tests for applications
Be responsible for all ranges of project work and daily support as outlined by given business requirements
Increase team efficiencies
Learn financial domain knowledge while building robust technical solutions to help the business
Analyze business requirements and translate them to technical specifications
What do you need to succeed?
Working towards a university or college degree in computer science, engineering, mathematics, or a related degree
Strong understanding of Data Structures and Algorithms
Experience with at least one programming language/framework (e.g. Java, C++, C#, JavaScript, React/Angular, Python)
Be a self-starter, with strong analytical and interpersonal skills
Ability to work in a fast-paced environment and manage multiple competing priorities
Passionate about technology and interested in Capital Markets
What’s in it for you?
Practical learning and industry experience to set you up for career success
Opportunity to build relationships and network across RBC
A glimpse into the fast-pace business of Capital Markets
The chance to deliver impactful work
Being a part of a collaborative team
Opportunity to be considered for the full-time New Grad program to build your career within Capital Markets Quantitative and Technology Services
We encourage you to apply as soon as possible as we accept applications on a rolling basis, but please note that the formal application deadline is October 24, 2021. Should you be selected to progress, someone from our team will reach out directly to provide instructions on next steps. Otherwise, feel free to check for progress updates by logging in to your RBC profile. If the status has not changed, it denotes the fact that your application is still under review.
While there is no one date when our employees will return, we can confirm that the majority of Summer Work Integrated Learning | Co-op positions will start working remotely, however may transition to working at an RBC office as essential service restrictions are lifted.
TAD2021
Join our Talent Community
Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers.

JOB SUMMARY
City: Toronto
Address: 155 Wellington Street West
Work Hours/Week: 37.5
Work Environment: Office
Employment Type: [[filter7]]
Career Level: Student Job
Application Deadline: 11/28/2021
Platform: Capital Markets
Req ID: 430313
Ad Code(s):",Posted9 days ago,developer
64,,,,,,Software Developer (Entry-Level),Traction,"Toronto, ON","About Traction Design Group

Traction Design Group (TDG) is a next generation digital consultancy. We are dedicated to solving complex business problems for our clients with creative and forward-thinking solutions. Our employees enjoy a culture built on innovation and a commitment to creating best-in-class digital products in use by hundreds of millions of consumers around the world. We hire exceptionally smart, analytical, and hard working people who are lifelong learners.

Software Developer (Entry Level)

As an entry level Software Developer you'll be tasked with working on both mobile and web applications. Working within the software development team, your duties will require you to assist in the development of consumer applications. This role is ideal for entry level developers who feel confident in their technical ability and want to be apart of the highly-skilled development team at TDG.

Responsibilities

Write maintainable, testable, and performant software in collaboration with our world class team
Participate in code review and performing extensive testing to ensure high quality software
Research new technology and tools and share those findings with the team
Communicate clearly and effectively with all members of our team

Successful candidates will have

Experience programming in .net or C#
Graduated from a Computer Science, Software Engineering, or similar program
Experience creating either web or native mobile applications
Experience developing eCommerce solutions
Strong command of important programming and computer science concepts
Fundamental knowledge of core web principals (HTTP, the DOM, SSL, web servers)
Great interpersonal skills - we work very closely together as a team and require a lot of communication
Proactive personality and a desire to deliver your best work

",Posted30+ days ago,developer
65,,,,,,"newJunior Image Processing Software Developer, Sunnybrook Resea...",Sunnybrook Health Sciences Centre,"Toronto, ON","Junior Image Processing Software Developer, Sunnybrook Research Institute
(Temporary Full-time, 1 year with possibility of renewal)
Our multi-disciplinary dementia neuroimaging research group is seeking a Junior Image Processing Software Developer at the LC Campbell Cognitive Neurology Research Unit under the supervision of Dr. Sandra Black and Dr. Maged Goubran. Our neuroimaging lab specializes in the application and development of cutting-edge multi-modal brain image analysis techniques to study stroke, dementia, and neurodegenerative disease. The successful candidate will be responsible for assisting with the development of multi-modal neuroimaging analysis software. There will also be opportunities to develop machine learning and image analysis algorithms using large multi-site imaging studies and trials (with hundreds or thousands of subjects each), including the Ontario Neurodegenerative Disease Research Initiative (ONDRI), Canadian Consortium on Neurodegeneration in Aging (CCNA), Canadian Alliance for Healthy Hearts and Minds (CAHHM), Toronto Dementia Research Alliance (TDRA), Brain-Eye Amyloid Memory Study (BEAM), and Medical Imaging Trials Network of Canada-C6 (MITNEC-C6). This will be performed in collaboration with our internal and external international collaborators including neurologists, radiologists, surgeons, psychologists, physicists, and computer scientists. There will also be opportunities for contributing to publications and conference presentations focused on novel computational tools for neuroscience research.
Responsibilities
Design data analysis workflows incorporating existing tools and refinements
Assist with the development of brain image segmentation, registration, and morphometry software for day-to-day image processing
Contribute to research projects and publishing papers
Evaluate alternative approaches to image processing tasks to ensure robust performance across diverse neuroimaging datasets
Facilitate the process of software building, testing, packaging, and distribution
Create and maintain documentation for developers and end-users
Requirements
Post-secondary degree in computer science, engineering, or medical biophysics
One or more years of work experience in software development
A passion for computer programming, with strong skills in Python and C++
Sound knowledge of object-oriented design and programming
Intermediate knowledge of Linux and scripting
Demonstrated ability to learn quickly
Assets
Experience with machine and deep learning preferred (sklearn, Pytorch, Tensorflow, Keras, etc.)
Python software packaging, virtual environments, Anaconda/Conda, Jupyter/IPython
Advanced knowledge of Linux, including scripting and system administration
Working knowledge of FSL, FreeSurfer, SPM, MATLAB, R, ITK
Experience with version control systems (Git) and software testing
Knowledge of the software development lifecycle
Test-driven development

The position is with the Sunnybrook site of the Heart and Stroke Foundation Canadian Partnership for Stroke Recovery, the LC Campbell Cognitive Neurology Research Unit and the Sandra Black Centre for Brain Resilience and Recovery, under Dr. Sandra Black, Director. This dynamic and collegial research environment provides opportunities to participate in pioneering imaging analysis techniques that will be used to understand and treat neurovascular and neurodegenerative disease.
We thank you in advance for your interest. Only those candidates selected for an interview will be contacted. No phone calls please. Application screening will continue until a suitable candidate is identified.
In accordance with Canadian Employment and Immigration guidelines, applicants must be eligible to work in Canada. Sunnybrook Research Institute is committed to providing accessible employment practices that are in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). If you require accommodation for disability during any stage of the recruitment process, please indicate this in your cover letter.
Sunnybrook Research Institute is strongly committed to inclusion and diversity within its community and welcomes all applicants including but not limited to: visible minorities, all religions and ethnicities, persons with disabilities, LGBTQ2
Application
To apply for this position, please:
Complete the following online questionnaire: https://goo.gl/1WvevD
Send a cover letter and Curriculum Vitae and the names of three potential references to: christopher.scott@sri.utoronto.ca
Links
Sunnybrook Research Institute: sunnybrook.ca/research
University of Toronto: utoronto.ca
Heart and Stroke Foundation Canadian Partnership for Stroke Recovery:canadianstroke.ca , www.sunnybrook.ca/research/?page=csrhome
LC Campbell Cognitive Neurology Research Unit: sunnybrook.ca/research/?page=cognitiveneurologyhome imaging.brainlab.ca
Goubran’s Medical Biophysics profile: https://medbio.utoronto.ca/faculty/goubran

Sunnybrook Research Institute is committed to providing accessible employment practices that are in compliance with the Accessibility for Ontarians with Disabilities Act (AODA). If you require accommodation for disability during any stage of the recruitment process, please indicate this in your cover letter.
Sunnybrook Research Institute is strongly committed to inclusion and diversity within its community and welcomes all applicants including but not limited to: visible minorities, all religions and ethnicities, persons with disabilities, LGBTQ persons, and all others who may contribute to the further diversification of ideas.
Please be advised that in order to be eligible for employment at Sunnybrook, all new hires must have received the full series of a COVID-19 vaccine or combination of COVID-19 vaccines approved by Health Canada (e.g., two doses of a two-dose vaccine series, or one dose of a single-dose vaccine series); AND have received the final dose of the COVID-19 vaccine at least 14 days ago. Medical exemptions or any other kind of requested exemption based upon the Hospital’s obligations pursuant to the Ontario Human Rights Code will be considered on a case-by-case basis.",Posted2 days ago,developer
66,,,,,,"Software Developer Intern, Bachelors, Summer 2022",Google,"Toronto, ON","Please complete your application before December 3rd, 2021.
Participation in the internship program requires that you are located in Canada for the duration of the internship program.
This internship is intended for students who are pursuing an Bachelor's degree program in Computer Science or a related field with an anticipated graduation date on or after December 2022, depending on their program and unique circumstances.
To start the application process, you will need an updated CV or resume and a current unofficial or official transcript in English. Click on the “Apply” button on this page and provide the required materials in the appropriate sections (PDFs preferred):
1. In the “Resume Section:” attach an updated CV or resume.
2. In the “Education Section:” attach a current or recent unofficial or official transcript in English.
Under “Degree Status,” select “Now attending” to upload a transcript.
Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Waterloo, ON, Canada; Montreal, QC, Canada; Toronto, ON, Canada.
Minimum qualifications:

Pursuing a Bachelor's degree program or post secondary or training experience with a focus on subjects in software development or other technical related field.
Experience in Software Development and coding in a general purpose programming language.
Experience coding in two of C, C++, Java, JavaScript, Python or similar.
Preferred qualifications:

Currently attending a degree program in the Canada and available to work full time for a minimum of 12 weeks outside of university term time.
Anticipated graduation by December 2022 or returning to a degree program after completion of the internship.
Experience with data structures or algorithms gathered from inside or outside of school or work.
Experience programming in three or more of C, C++, C#, Java, JavaScript, Go, Python or similar.
Experience with web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, or security software development.
Ability to speak and write in English fluently.
About the job
Join us for a unique 12-14 week paid internship that offers personal and professional development, an executive speaker series, and community-building. The Software Developer Internship program will give you an opportunity to work on complex computer science solutions, develop scalable, distributed software systems, and also collaborate on multitudes of smaller projects that have universal appeal.
We offer a range of internships in either Software Developing or Site-Reliability Developing across North America, including the US and Canada. Our recruitment team will determine where you fit best based on your resume.
Software Developer Intern:

As a key member of a versatile team, you will work on a specific project critical to Google’s needs. We need our developers to be versatile and enthusiastic in addressing new problems as we continue to push technology forward. You will design, test, deploy and maintain software solutions as you grow and evolve during your internship.
Site Reliability Intern:

Our developers create, fix, extend and scale the code to keep it working and to harden it against all the bad actors of the internet. We drive reliability and performance on a massive scale. You will work on software development projects to keep important systems up and running, from code-level troubleshooting of traffic anomalies to maintenance of our most cutting-edge services, from monitoring and alerts to building new automation infrastructure.
Google is and always will be a developing company. We hire people with a broad set of technical skills who are ready to address some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, developers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google developers are changing the world one technological achievement after another.
Responsibilities
Create and support a team. This includes working with peers, managers, and teams.
Develop scripts to automate routine tasks.
Analyze information and evaluate results to choose the best solution to effectively solve problems.
Apply knowledge gained in computer science courses to real world problems.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",Posted30+ days ago,developer
67,,,,,,newJob Developer – Employment Ontario (Nov 2021-528-CP),WoodGreen Community Services,"Toronto, ON","Employment Type: Full-Time – CUPE Bargaining Unit*Work Hours: *35 hours/week (Early morning, evening hours and weekends are periodically required)*Salary: *$30.08/hour (equivalent to an annual salary of $54,747 annually for a 1.0 FTE)*Application Deadline: *Open until filledProgram Overview – Employment Ontario (EO)Employment Ontario (EO) offers all Ontarians the employment services they need in a one-stop-shop. Services are available to all residents to access local community information, employment services, and Employment Ontario-funded programs. EO offers individualized services to all unemployed job seekers including youth, women, newcomers, and those receiving income assistance. With staff support, job seekers can create a personalized employment service plans, access career exploration services, employment coaching, and job development. Referrals to specialized support services beyond their employment search needs can be made & services are also available to individuals who wish to job search independently.*What You Will Do**Proactively outreach to existing and new employers to identify opportunities in the competitive job market to build/grow relationships to meet the employment needs of our clients and contract requirementsIdentify client skills and qualifications, market and refer qualified candidates to employers and match and place clients to available jobs through all available strategiesNegotiate individual contracts for work placements (subsidized and unpaid), job trials and job training opportunities; ensure disability insurance coverage as required and link clients/employers to supports and subsidies to meet or exceed contractual and/or job placement outcomesDevelop, monitor and revise training plans and agreements with clients and employers, including during job search, job application, hiring process, job retention and provide post-employment support and servicesPlan, develop and deliver workshops for employers and clients on workplace health and safety, workplace accommodation and workplace communication etc. based on current and future needsEnsures compliance to Agency Policies and Guidelines, Strategic Direction, Contractual Guidelines, Industry standards and applicable legislation and obtains appropriate authorization from Manager and documentation validation for all client and employer’s subsidies and supportsDevelop, and maintain employer database to job match clients with employers, document employer files, track clients progress and case management, maintain statistical and financial information for reports as required.Post job openings on Job Boards, share job leads within WoodGreen team, external partners, as appropriateWhat You Bring to the Team*Degree or Diploma in Human Resources, Career Employment Counseling, Sales/Marketing or related programDemonstrated 2+ years’ experience in job development working with a range of diverse job seekers experiencing barriers to employment; a proven track record to achieve employment targets and outcomes is a mustWhat Will Set You Apart*Advanced skills utilizing all Microsoft Application including Excel, PowerPoint and Microsoft TeamsExcellent interpersonal, listening, customer service, coaching, negotiation and influencing skillsDesire to work in a multicultural setting and possess sound decision making and judgmentDemonstrated ability to work within a team environment with limited supervision, able to take initiative,Manage change/transitions with the ability to prioritize, multi-task and meet deadlines and targetsCertification in Crisis Intervention, First Aid, Occupational Health and Safety, workplace accommodation an assetMust be able to travel within GTA. Valid driver’s license and unlimited access to vehicle is strongly preferredEffective September 7, 2021, all newly hired employees will be required to provide proof that they have completed an approved course of vaccination against COVID-19 at least 14 days prior to commencing employment or provide documentation to support an exemption based on grounds covered by the Ontario Human Rights Act (i.e. Medical exemption).Wo41rdg027Job Type: Full-time",Posted4 days ago,developer
68,,,,,,newBI Developer,Alithya,"Toronto, ON","BI Developer
toronto
Toronto, Ontario, Canada
Do you want to experience the essence of a large organization in a company with a personal touch? Come and work with us! We are looking for creative, innovative, and collaborative people like you to join our team.
At the heart of Alithya’s values is the well-being of our employees and their families. That's why we continue to follow the Public Health Agency of Canada’s recommendations closely.

We remain close to you, while keeping our distance via Phone, Skype, Zoom or however you like.

Take your ambitions to next level
Identify crucial business metrics that will provide insight into operations;
Create dimensional data models to support business metrics and analytics, with flexibility for change;
Analyze source system data and develop ETL packages using tools such as SSIS;
Create intuitive and flexible reports using tools such as SSRS;
Empower the business by creating lasting gateways to their data using Analysis Services tools such as SSAS;
Support the solution to business and IT representatives throughout the software life cycle;
Perform testing and prepare documentation;
Interface with business users and technologists at client locations;
Gather requirements and write design specifications.
When it just clicks!

Does this sound like you?

Degree from a post-secondary institution in Computer Science or Engineering;
3-10 years of Business Intelligence development experience;
Experience in Microsoft BI technologies (SSIS, SSRS, SSAS, SQL Server);
Comfortable in client-facing environments;
Good communication skills;
Results driven and flexible, enjoy variety in your work;
Desire to work somewhere where your contributions matter;
Ready to travel for 10.0 % of the time;

Languages required:
English: 4/4
French: 1/4
32839
Life at Alithya
37.5 hours per week;
Opportunities to develop and grow your career;
Work with diverse technologies, projects, clients and sectors;
Spend your days in a creative and innovative environment;
Share experience and knowledge as part of an agile and dynamic team;
A great harmony between work and personal life;
Access to exciting educational opportunities (internal, conferences, events, courses, certifications, etc.);
Personal recognition of your important professional contributions;
Great cultural diversity across our teams.
Why join our team?
Because creativity, passion, integrity and wellness are the company’s core values, we are looking for people like you who are enthusiastic, innovative, open-minded, team players and eager to learn.

Working at Alithya is a chance to be part of an energetic, dynamic, and growing team of more than 2,000 professionals in Canada, the United States and France. Our diverse practices and the extensive major projects entrusted to us by our prestigious clients allows us to offer many high growth potential opportunities to our employees in well-established technologies.

Alithya Group is an advocate for workforce diversity and as such, encourages the participation of women in management roles, and implements immigrant-friendly recruiting initiatives

The diversification of our workforce is another factor that sets us apart, resulting from our many international recruitment initiatives and our ongoing efforts to promote diversity and inclusion. We belong to the 30% Club, which encourages women’s access to leadership positions.",Posted3 days ago,developer
69,,,,,,newJunior SQL Developer,IsoMetrix,"Toronto, ON•Remote","IsoMetrix, a fast-growing software company with offices in the USA, Canada, Australia, United Kingdom and South Africa, is a leading provider of software solutions for Governance, Risk and Compliance management and reporting.
The individual will utilize their SQL and TSQL experience to deliver bespoke and standard items for our configurable software platform. The Technical Solutions Expert will work in our Professional Services department in an agile project stream and be able to serve as an expert in technical delivery and bespoke development.
Main purpose of Job:
Development of best class bespoke solutions related to Governance Risk and Compliance (GRC) for our global operations.
Primary responsibilities:
Development of bespoke work in TSQL / SSIS / SSRS.
Manage and resolve first line support tickets relating to bespoke solutions.
Development and support of custom integration solutions using the SQL Server technology stack.
Thorough unit testing of development work.
Engage with project managers, business and test analysts, system consultants, developers and management in project work.
Scoping of client requirements.
Follow technical specifications and create technical specifications when necessary
Minimum qualification and experience:
BSC Computer Science or relevant qualification.
Knowledge of SSRS and SSIS.
Experience / training that would be an advantage:
T-SQL working experience.
Database design, development.
Integration or dashboard/reporting experience.
Administration Knowledge of SQL Server.
Ability to document technical specifications, processes and procedures
Personal Attributes:
Excellent communication Skills – written and oral.
Positive attitude, team player.
High attention to detail.
Quality conscious, analytical, assertive, ability to multi task.
Self-starter and quick learner.
Professional and presentable.
Language: English
The IsoMetrix DNA encompasses the following core values and behaviours:
Own It!
Do the right thing
Embrace Ideas
Win together
Think Beyond",Posted2 days ago,developer
70,,,,,,Full Stack Engineer Intern/Co-Op,Questrade Financial Group,"Toronto, ON","Questrade Financial Group (QFG) of Companies is committed to helping Canadians become much more financially successful and secure. We are everything a traditional financial institution is not. Our vision is to revolutionize financial services for the benefit of Canadians by providing the most innovative and cost efficient financial services online.

That’s why we empower our employees to continuously grow their professional careers with QFG. We believe in having a diverse, inclusive place to work and our flexible working arrangements brings that to life so you can unleash your creativity. Our values are a part of our DNA, and we care deeply about our people helping us fulfill our mission and become an important part of our community. We are always looking for like-minded professionals to join our team. Come grow with us.

What’s it like working as a Full Stack Engineer Intern/Co-Op?
The Full Stack Engineer Intern/Co-Op will be involved in the development of functionally rich, robust and user friendly web and mobile applications, following through all stages of the Agile software development life cycle from inception to implementation. The developer will collaborate on a cross functional team including UX Design, QA and other engineers in the implementation of features end-to-end across all layers, and the growth of best practices and technological advancements. The ideal candidate for this role should be able to thrive in dynamic environments, have a strong work ethic, positive energy and the ability to innovate.

Need more details? Keep reading…

You will be responsible for:

Developing, testing, debugging back-end services and mobile and web apps
Enhancing and modifying existing applications as needed to ensure add new features or improve user-experience
Diagnosing and troubleshooting problems with existing applications
Collecting system performance and metrics to enable monitoring and operation
Interacting with designers, developers, QA testers, copywriters, product owners and others in order to understand requirements and scope of work
Helping the team to estimate work efforts for user stories, including determining requirements, dependencies and risks
Supporting the team in technical decisions and development estimates
Participating in and contribute to all Agile Scrum ceremonies

So are YOU our next Full Stack Engineer Intern/Co-Op? You are if you…

We’re looking for someone with:

Strong analytical and problem solving skills
Strong organization, communication, and interpersonal skills
A strong commitment to upgrading technical skills on an ongoing basis and a willingness to share their knowledge with others
The ability to take initiative and get things done

To succeed, in this role, you should:

Be currently working towards a Bachelor’s Degree in engineering, computer science or equivalent.
Possess an understanding of web technologies.
Understand Object-Oriented Programming concepts, algorithms, data structures and design patterns.
Have a basic knowledge of frontend technologies (Javascript, HTML and CSS). Experience with a modern web framework (Angular, React, Vue) is a plus.
Have experience building REST APIs. Experience with .Net Core or Node.js is a plus.
Have experience with databases. Experience with non-relational databases is a plus.

Sounds like you? Click below to apply!

#LI-BB1

At Questrade Financial Group of Companies, with multiple office locations around the world, we are committed to fostering a diverse, inclusive and accessible work environment. We value the unique skills and experiences each individual brings, and believe that when our teams feel supported and motivated, their creativity becomes a source of innovation. We are also committed to creating and sustaining a collegial work environment in which all individuals are treated with dignity and respect and also one which reflects the diversity of the communities we serve and operate in to help us revolutionize financial services for the benefit of all of our customers. Candidates selected for an interview will be contacted directly. If you require accommodation during the recruitment/selection process, please let us know and we will work with you to meet your needs.",Posted10 days ago,developer
71,,,,,,Operations Manager,Pillar Security,"Toronto, ON","Job DescriptionOperations ManagerThe Operations Manager will be responsible for dealing with all incident investigations and resolutions in real-time. They will assist site supervisors in the performance management of their teams. They will liaise with property management and attend meetings where the Client Engagement Manager isn't required.In conjunction with the Training Compliance Manager and Human Resources, they will be responsible for defining, communicating, and evaluating new hire requirements, employee placement decisions, and training requirements.Must have experience working in a condominium setting, preferably as a Site Supervisor or Property ManagerTo help and assist you in being successful in this role, we take your onboarding seriously. With thorough training and support from the start, we will encourage you in developing your potential by offering various internal training and management programs, thus creating a clear career path within our company.Skills/Experience Required: · Broad previous residential security condominium experience.· Clean driving abstract.· Exceptional verbal and written communication skills.· Tech savvy.· Strong critical thinking skills.· Strong problem-solving skills.· Demonstrated tact and diplomacy.· 1+ years of experience in a similar role or equivalent· Proficiency with Microsoft Office· Strong organizational and communication skills· Strong ability to multitask· Comfort working with multiple groups within the businessResponsibilities: · Direct and coordinate the detection, prevention, and investigation of incidents, offering guidance and expertise, and ensuring that procedures are conducted in accordance with laws and regulations.· Direct collection, preparation, and handling of evidence, conduct employee interviews, and order questions of witnesses.· Establish contact and maintain excellent relationships with condominium corporation management.· Control, monitor and evaluate the work of subordinate staff, and authorize promotions and transfers in-line with standard operating procedures (SOPs).· Inform personnel of changes in regulations and policies, implications of new or amended laws, and new techniques of security work, and train staff in proper work procedures.· Investigate charges of misconduct against staff and make recommendations to Senior Management Team (SMT).· Maintain incident logs, prepare daily handover reports, direct the preparation, handling, and maintenance of departmental/company records, and manage unit's other administrative tasks.· Respond directly to or ensure Site Supervisors respond to incidents within service level agreements and in line with SOPs.· Monitor and ensure self and subordinate employees are in compliance with company and customer policies and laws.· Provide leadership and manage multiple sites: make decisions, solve problems, update records/files.· Conduct meetings when necessary and represent the site/company at internal and external meetings.· Report all health and safety incidents in line with SOP to the senior management team.· Coach, counsel and motivate employees.· Investigate complaints or performance concerns and report to Human Resources· Complete yearly staff performance reviews for Site Supervisors.· Manage and ensure effective employee relations, sustaining an ethical, non-discriminatory, and safe work environment.· Identify and solve employee problems, manage conflict, respond to concerns in line with SOP.Job Types: Full-time, PermanentSalary: $40,000.00-$44,000.00 per yearSchedule:8 hour shiftMonday to FridayWork remotely:No",Posted9 days ago,manager
72,,,,,,District Manager- Ontario East,Gap,"Toronto, ON","About Gap
Gap has always been about optimistic American style. Starting with our very first store on Ocean Avenue in San Francisco, opened almost 50 years ago by Doris and Don Fisher. The thread that’s run through those five decades is the phenomenal people that make up our brand – our employees and our customers. People who are rooted in the legacy that makes Gap what it is, but who are also focused on the future. People who want to leave the world better than they found it.
We’ve built our brand on staying true to our roots while always being out in front of what’s next. If you want to be part of an iconic American brand, and help lead the way for where we’re headed, we’d love to have you join us.
About the Role
In this role, you will leverage your knowledge of the business to effectively execute and quickly adapt strategies to ensure operational excellence, merchandising execution, maximum productivity and profitable sales and earnings growth. You will drive high performance across all initiatives, and ensure consistency within your portfolio as measured by company goals and KPIs that drive a profitable portfolio. You will lead, develop, coach and inspire a portfolio of stores to deliver an optimal customer and employee experience. Your goal is to lead execution and support the brand and enterprise vision, ensuring your teams are delivering results and holding their teams accountable.
What You'll Do
Drive profitable sales through effective business analysis; identifying financial opportunities and action plans to address current business challenges and deliver desired results
Attract, develop and fuel a talent pipeline in support of the district, region and brand talent strategy
Distinguish between customer segments, with differences in needs and approaches, and understand variances in profitability and value creation potential
Maintain strong relationships and collaboration with peers, cross functional partners and Headquarter partners to leverage expertise in developing and executing strategies
Responsible for quality of services and advice in meeting business partner needs
Responsible for end results of team and shares responsibility over resources, budget and adherence to policies
Who You Are
Leadership experience overseeing district, multi-unit or high volume business
Strong business acumen and proven track record of leading, adjusting and developing business strategy to achieve profit & loss results
Keen awareness of the marketplace inclusive of Gap Inc brands, external competitors and overall retail trends
Ability to embrace challenges, take risks, learn fast and influence change to lead execution of strategic initiatives through others while managing competing priorities
Able to travel overnight and/or between stores as required
Ability to assess relatively complex situations and analyze data to make judgments and recommend solutions
Understanding of concepts and procedures specific to own subject area
Benefits at Gap
Merchandise discount for our brands: 50% off regular-priced merchandise at Gap, Banana Republic, Old Navy and Athleta, 30% off at Outlet, and 10% off markdowns at Gap, Banana Republic and Outlet.
Competitive Paid Time Off plans.*
Company match for donations and volunteer time*
Registered Retirement Savings Plan
Employee stock purchase plan.*
Medical, dental, vision and life insurance.*
Virtual health care 24/7*
Maternity/Parental Top Up.*
See more of the benefits we offer.
For eligible employees
Gap Inc. is an equal-opportunity employer and is committed to providing a workplace free from harassment and discrimination. We are committed to recruiting, hiring, training and promoting qualified people of all backgrounds, and make all employment decisions without regard to any protected status. We have received numerous awards for our long-held commitment to equality and will continue to foster a diverse and inclusive environment of belonging. This year, we’ve been named as one of the Best Places to Work by the Humans Rights Campaign for the fourteenth consecutive year and have been included in the 2019 Bloomberg Gender-Equality Index for the second year in a row.",Posted30+ days ago,manager
